date,kind,name,nav,ytd_return_pct,daily_change_pct
2026-04-10,fund,瑞享1号,1.0787,0.6200,0.0050
2026-04-10,fund,瑞享3号,0.6857,-16.3000,3.0700
2026-04-10,fund,配置1号,1.0793,1.0400,0.5200
2026-04-10,fund,瑞臻1号,1.4020,-9.5700,1.9300
2026-04-10,fund,鑫盛1号,1.1600,13.7800,0.6800
2026-04-10,fund,领航1号,1.0192,1.9100,1.8500
2026-04-10,fund,锐进1号,1.0076,0.7600,0.3900
2026-04-13,fund,瑞享1号,1.0788,0.6400,0.0050
2026-04-13,fund,瑞享3号,0.6851,-16.3700,-0.0700
2026-04-13,fund,配置1号,1.0807,1.1700,0.1400
2026-04-13,fund,瑞臻1号,1.4107,-9.0100,0.6300
2026-04-13,fund,鑫盛1号,1.1607,13.8500,0.0600
2026-04-13,fund,领航1号,1.0216,2.1600,0.2500
2026-04-13,fund,锐进1号,1.0090,0.9000,0.1400
2026-04-14,fund,瑞享1号,1.0789,0.6400,0.0050
2026-04-14,fund,瑞享3号,0.6764,-17.4300,-1.2800
2026-04-14,fund,配置1号,1.0849,1.5600,0.3900
2026-04-14,fund,瑞臻1号,1.3913,-10.2600,-1.3800
2026-04-14,fund,鑫盛1号,1.1666,14.4300,0.5100
2026-04-14,fund,领航1号,1.0385,3.8500,1.6500
2026-04-14,fund,锐进1号,1.0115,1.1500,0.2500
2026-04-15,fund,瑞享1号,1.0789,0.6500,0.0050
2026-04-15,fund,瑞享3号,0.6684,-18.4100,-1.1800
2026-04-15,fund,配置1号,1.0852,1.5900,0.0300
2026-04-15,fund,瑞臻1号,1.3530,-12.7300,-2.7500
2026-04-15,fund,鑫盛1号,1.1679,14.5500,0.1100
2026-04-15,fund,领航1号,1.0392,3.9200,0.0700
2026-04-15,fund,锐进1号,1.0116,1.1600,0.0100
2026-04-16,fund,瑞享1号,1.0790,0.6500,0.0050
2026-04-16,fund,瑞享3号,0.6716,-18.0200,0.4800
2026-04-16,fund,配置1号,1.0896,2.0000,0.4100
2026-04-16,fund,瑞臻1号,1.3487,-13.0100,-0.3200
2026-04-16,fund,鑫盛1号,1.1734,15.0900,0.4700
2026-04-16,fund,领航1号,1.0634,6.3300,2.3300
2026-04-16,fund,锐进1号,1.0138,1.3700,0.2200
2026-04-17,fund,瑞享1号,1.0790,0.6600,0.0050
2026-04-17,fund,瑞享3号,0.6693,-18.3000,-0.3400
2026-04-17,fund,配置1号,1.0909,2.1200,0.1100
2026-04-17,fund,瑞臻1号,1.3377,-13.7200,-0.8200
2026-04-17,fund,鑫盛1号,1.1742,15.1700,0.0700
2026-04-17,fund,领航1号,1.0627,6.2600,-0.0700
2026-04-17,fund,锐进1号,1.0153,1.5300,0.1500
2026-04-20,fund,瑞享1号,1.0792,0.6700,0.0050
2026-04-20,fund,瑞享3号,0.7055,-13.8900,5.4100
2026-04-20,fund,配置1号,1.0878,1.8300,-0.2800
2026-04-20,fund,瑞臻1号,1.3825,-10.8300,3.3600
2026-04-20,fund,鑫盛1号,1.1718,14.9300,-0.2000
